Date,Away,Score,Home,Score
2018,Bourne,9,Yarmouth-Dennis,10
2018,Brewster,1,Cotuit,10
2018,Falmouth,10,Hyannis,4
2018,Orleans,2,Harwich,3
2018,Wareham,12,Chatham,4
2018,Bourne,0,Cotuit,0
2018,Chatham,1,Yarmouth-Dennis,1
2018,Hyannis,0,Falmouth,0
2018,Harwich,2,Wareham,3
2018,Brewster,0,Orleans,0
2018,Chatham,8,Brewster,0
2018,Falmouth,2,Bourne,5
2018,Harwich,3,Hyannis,5
2018,Cotuit,2,Wareham,4
2018,Yarmouth-Dennis,4,Orleans,5
2018,Hyannis,4,Cotuit,1
2018,Orleans,1,Bourne,7
2018,Wareham,7,Falmouth,4
2018,Yarmouth-Dennis,4,Harwich,1
2018,Brewster,10,Chatham,1
2018,Bourne,1,Brewster,6
2018,Falmouth,8,Yarmouth-Dennis,0
2018,Wareham,0,Harwich,2
2018,Cotuit,6,Orleans,2
2018,Hyannis,1,Chatham,10
2018,Yarmouth-Dennis,4,Cotuit,5
2018,Harwich,8,Falmouth,0
2018,Brewster,3,Hyannis,4
2018,Orleans,3,Wareham,4
2018,Chatham,7,Bourne,2
2018,Yarmouth-Dennis,3,Cotuit,11
2018,Brewster,5,Hyannis,6
2018,Harwich,5,Falmouth,1
2018,Chatham,4,Bourne,1
2018,Orleans,10,Wareham,4
2018,Bourne,4,Cotuit,1
2018,Yarmouth-Dennis,4,Brewster,4
2018,Bourne,4,Falmouth,2
2018,Cotuit,10,Hyannis,4
2018,Chatham,3,Wareham,6
2018,Orleans,3,Harwich,4
2018,Chatham,7,Brewster,0
2018,Orleans,4,Cotuit,5
2018,Harwich,3,Bourne,4
2018,Yarmouth-Dennis,1,Falmouth,0
2018,Hyannis,0,Wareham,9
2018,Cotuit,1,Yarmouth-Dennis,6
2018,Wareham,3,Bourne,4
2018,Falmouth,1,Harwich,4
2018,Brewster,0,Orleans,3
2018,Hyannis,3,Chatham,3
2018,Cotuit,4,Brewster,5
2018,Harwich,1,Yarmouth-Dennis,12
2018,Falmouth,1,Hyannis,2
2018,Bourne,6,Chatham,8
2018,Wareham,3,Orleans,10
2018,Orleans,0,Cotuit,0
2018,Chatham,0,Falmouth,0
2018,Harwich,0,Hyannis,0
2018,Yarmouth-Dennis,0,Bourne,0
2018,Brewster,2,Wareham,3
2018,Falmouth,7,Brewster,2
2018,Wareham,10,Yarmouth-Dennis,4
2018,Bourne,0,Harwich,1
2018,Hyannis,7,Orleans,3
2018,Cotuit,6,Chatham,1
2018,Falmouth,5,Brewster,3
2018,Wareham,3,Yarmouth-Dennis,4
2018,Bourne,1,Harwich,1
2018,Hyannis,3,Orleans,2
2018,Cotuit,0,Chatham,0
2018,Harwich,0,Hyannis,2
2018,Brewster,0,Orleans,5
2018,Bourne,10,Brewster,9
2018,Orleans,4,Yarmouth-Dennis,10
2018,Harwich,10,Cotuit,3
2018,Wareham,1,Hyannis,9
2018,Falmouth,4,Chatham,2
2018,Hyannis,7,Brewster,5
2018,Orleans,0,Falmouth,1
2018,Cotuit,6,Bourne,5
2018,Chatham,5,Wareham,7
2018,Yarmouth-Dennis,3,Harwich,2
2018,Orleans,0,Cotuit,0
2018,Yarmouth-Dennis,0,Bourne,0
2018,Hyannis,0,Falmouth,0
2018,Cotuit,6,Falmouth,7
2018,Brewster,0,Bourne,14
2018,Hyannis,3,Wareham,4
2018,Harwich,10,Orleans,8
2018,Yarmouth-Dennis,2,Chatham,5
2018,Orleans,3,Brewster,3
2018,Cotuit,1,Yarmouth-Dennis,4
2018,Falmouth,5,Bourne,7
2018,Wareham,17,Hyannis,4
2018,Harwich,1,Chatham,5
2018,Chatham,3,Cotuit,4
2018,Bourne,6,Orleans,7
2018,Brewster,5,Falmouth,4
2018,Hyannis,2,Harwich,1
2018,Yarmouth-Dennis,6,Wareham,5
2018,Cotuit,2,Falmouth,2
2018,Bourne,5,Wareham,3
2018,Brewster,10,Yarmouth-Dennis,12
2018,Wareham,8,Cotuit,1
2018,Bourne,4,Hyannis,6
2018,Chatham,13,Harwich,6
2018,Falmouth,6,Orleans,1
2018,Harwich,8,Brewster,1
2018,Yarmouth-Dennis,7,Hyannis,2
2018,Orleans,3,Chatham,0
2018,Falmouth,17,Cotuit,7
2018,Hyannis,7,Yarmouth-Dennis,7
2018,Wareham,13,Bourne,1
2018,Brewster,0,Harwich,6
2018,Chatham,0,Orleans,3
2018,Bourne,0,Cotuit,0
2018,Wareham,0,Brewster,0
2018,Harwich,0,Yarmouth-Dennis,0
2018,Chatham,0,Falmouth,0
2018,Orleans,0,Hyannis,0
2018,Yarmouth-Dennis,6,Brewster,6
2018,Hyannis,3,Cotuit,8
2018,Orleans,2,Bourne,7
2018,Falmouth,6,Wareham,4
2018,Harwich,6,Chatham,9
2018,Chatham,1,Yarmouth-Dennis,10
2018,Bourne,3,Falmouth,2
2018,Brewster,8,Orleans,9
2018,Cotuit,4,Harwich,1
2018,Wareham,5,Hyannis,6
2018,Falmouth,6,Yarmouth-Dennis,3
2018,Cotuit,3,Bourne,9
2018,Brewster,1,Wareham,4
2018,Hyannis,4,Harwich,3
2018,Orleans,9,Chatham,3
2018,Chatham,1,Falmouth,0
2018,Harwich,4,Yarmouth-Dennis,5
2018,Orleans,7,Cotuit,12
2018,Wareham,1,Brewster,8
2018,Yarmouth-Dennis,0,Bourne,0
2018,Chatham,7,Falmouth,2
2018,Yarmouth-Dennis,1,Brewster,6
2018,Cotuit,2,Hyannis,5
2018,Falmouth,5,Bourne,2
2018,Harwich,9,Orleans,3
2018,Wareham,9,Chatham,2
2018,Harwich,7,Brewster,5
2018,Orleans,8,Yarmouth-Dennis,11
2018,Wareham,2,Cotuit,2
2018,Hyannis,3,Falmouth,4
2018,Bourne,3,Chatham,5
2018,Hyannis,5,Bourne,2
2018,Yarmouth-Dennis,4,Falmouth,2
2018,Brewster,2,Harwich,1
2018,Cotuit,2,Wareham,8
2018,Chatham,4,Orleans,0
2018,Brewster,2,Yarmouth-Dennis,7
2018,Chatham,8,Harwich,3
2018,Cotuit,9,Hyannis,5
2018,Wareham,0,Falmouth,3
2018,Bourne,1,Orleans,6
2018,Falmouth,8,Cotuit,1
2018,Orleans,3,Brewster,2
2018,Harwich,6,Wareham,7
2018,Hyannis,4,Bourne,3
2018,Yarmouth-Dennis,5,Chatham,3
2018,Harwich,11,Cotuit,3
2018,Bourne,4,Hyannis,8
2018,Falmouth,3,Wareham,3
2018,Brewster,8,Chatham,6
2018,Yarmouth-Dennis,5,Orleans,2
2018,Wareham,3,Brewster,5
2018,Chatham,5,Hyannis,12
2018,Yarmouth-Dennis,3,Bourne,6
2018,Cotuit,3,Harwich,3
2018,Falmouth,10,Orleans,3
2018,Bourne,2,Yarmouth-Dennis,8
2018,Chatham,17,Brewster,3
2018,Hyannis,2,Cotuit,7
2018,Orleans,2,Falmouth,8
2018,Wareham,6,Harwich,1
2018,Brewster,7,Yarmouth-Dennis,3
2018,Chatham,10,Cotuit,9
2018,Orleans,1,Hyannis,4
2018,Bourne,6,Wareham,8
2018,Falmouth,1,Harwich,4
2018,Brewster,1,Bourne,5
2018,Hyannis,3,Falmouth,5
2018,Cotuit,4,Wareham,3
2018,Harwich,8,Orleans,5
2018,Yarmouth-Dennis,3,Chatham,7
2018,Hyannis,2,Falmouth,7
2018,Yarmouth-Dennis,8,Bourne,3
2018,Cotuit,15,Chatham,5
2018,Yarmouth-Dennis,5,Wareham,0
2018,Bourne,3,Cotuit,4
2018,Falmouth,7,Hyannis,9
2018,Orleans,8,Harwich,5
2018,Brewster,9,Chatham,1
2018,Orleans,4,Yarmouth-Dennis,8
2018,Cotuit,8,Brewster,6
2018,Hyannis,1,Bourne,2
2018,Wareham,3,Falmouth,1
2018,Harwich,3,Chatham,6
2018,Bourne,7,Cotuit,5
2018,Orleans,0,Hyannis,0
2018,Falmouth,5,Wareham,3
2018,Chatham,4,Yarmouth-Dennis,4
2018,Hyannis,4,Brewster,4
2018,Harwich,8,Bourne,5
2018,Falmouth,1,Wareham,5
2018,Cotuit,6,Orleans,5
2018,Yarmouth-Dennis,8,Harwich,5
2018,Chatham,9,Hyannis,2
2018,Bourne,6,Falmouth,9
2018,Wareham,11,Orleans,2
2018,Harwich,1,Yarmouth-Dennis,8
2018,Orleans,3,Brewster,4
2018,Hyannis,6,Wareham,10
2018,Cotuit,8,Bourne,2
2018,Falmouth,6,Chatham,1
2018,Brewster,2,Cotuit,9
2018,Orleans,9,Hyannis,11
2018,Wareham,4,Cotuit,4
2018,Brewster,2,Falmouth,10
2018,Bourne,3,Hyannis,4
2018,Chatham,4,Harwich,1
2018,Yarmouth-Dennis,2,Orleans,0
2018,Harwich,8,Brewster,11
2018,Hyannis,6,Yarmouth-Dennis,2
2018,Cotuit,3,Falmouth,8
2018,Bourne,1,Wareham,6
2018,Orleans,5,Chatham,6
2018,Falmouth,4,Cotuit,5
2018,Wareham,6,Bourne,7
2018,Yarmouth-Dennis,9,Hyannis,1
2018,Brewster,2,Harwich,7
2018,Chatham,8,Orleans,9
2019,Yarmouth-Dennis,9,Cotuit,1
2019,Brewster,2,Orleans,2
2019,Chatham,1,Harwich,5
2019,Falmouth,3,Bourne,5
2019,Wareham,3,Hyannis,3
2019,Falmouth,9,Hyannis,5
2019,Orleans,7,Yarmouth-Dennis,2
2019,Bourne,13,Brewster,3
2019,Hyannis,5,Falmouth,5
2019,Cotuit,2,Wareham,7
2019,Harwich,11,Chatham,0
2019,Brewster,8,Chatham,5
2019,Wareham,6,Bourne,14
2019,Orleans,8,Harwich,5
2019,Falmouth,6,Cotuit,4
2019,Yarmouth-Dennis,0,Hyannis,1
2019,Brewster,0,Harwich,6
2019,Chatham,0,Orleans,4
2019,Cotuit,2,Falmouth,7
2019,Harwich,4,Brewster,4
2019,Hyannis,9,Yarmouth-Dennis,3
2019,Cotuit,13,Falmouth,2
2019,Bourne,0,Wareham,4
2019,Orleans,7,Chatham,8
2019,Brewster,4,Bourne,4
2019,Falmouth,1,Wareham,8
2019,Orleans,10,Chatham,0
2017,Cotuit,5,Bourne,3
2017,Chatham,8,Falmouth,7
2017,Wareham,0,Hyannis,3
2017,Yarmouth-Dennis,4,Harwich,2
2017,Brewster,6,Orleans,1
2017,Falmouth,0,Cotuit,10
2017,Orleans,2,Yarmouth-Dennis,4
2017,Chatham,3,Bourne,4
2017,Brewster,6,Hyannis,1
2017,Wareham,9,Harwich,0
2017,Brewster,0,Bourne,0
2017,Harwich,0,Falmouth,0
2017,Hyannis,0,Wareham,0
2017,Cotuit,0,Chatham,0
2017,Yarmouth-Dennis,0,Orleans,1
2017,Chatham,0,Brewster,0
2017,Harwich,5,Yarmouth-Dennis,2
2017,Cotuit,0,Hyannis,0
2017,Falmouth,3,Wareham,4
2017,Bourne,2,Orleans,1
2017,Brewster,3,Cotuit,4
2017,Orleans,2,Falmouth,5
2017,Hyannis,0,Harwich,6
2017,Yarmouth-Dennis,0,Bourne,0
2017,Wareham,3,Chatham,8
2017,Brewster,1,Cotuit,2
2017,Orleans,9,Falmouth,3
2017,Hyannis,0,Harwich,0
2017,Yarmouth-Dennis,0,Bourne,0
2017,Wareham,1,Chatham,6
2017,Harwich,7,Falmouth,10
2017,Hyannis,6,Wareham,2
2017,Cotuit,4,Chatham,8
2017,Yarmouth-Dennis,2,Orleans,1
2017,Bourne,5,Cotuit,4
2017,Brewster,7,Yarmouth-Dennis,7
2017,Falmouth,4,Harwich,2
2017,Hyannis,5,Chatham,3
2017,Wareham,0,Orleans,2
2017,Falmouth,4,Brewster,7
2017,Harwich,6,Cotuit,3
2017,Chatham,8,Yarmouth-Dennis,11
2017,Orleans,4,Bourne,0
2017,Wareham,10,Hyannis,2
2017,Wareham,2,Brewster,9
2017,Cotuit,3,Yarmouth-Dennis,5
2017,Harwich,2,Bourne,3
2017,Hyannis,5,Falmouth,10
2017,Chatham,3,Orleans,4
2017,Cotuit,12,Brewster,6
2017,Yarmouth-Dennis,5,Falmouth,1
2017,Bourne,7,Hyannis,6
2017,Orleans,3,Wareham,11
2017,Harwich,11,Chatham,2
2017,Yarmouth-Dennis,2,Cotuit,9
2017,Orleans,7,Harwich,4
2017,Hyannis,6,Bourne,8
2017,Wareham,3,Falmouth,5
2017,Brewster,4,Chatham,5
2017,Bourne,4,Brewster,6
2017,Falmouth,3,Yarmouth-Dennis,14
2017,Chatham,5,Hyannis,8
2017,Cotuit,4,Orleans,6
2017,Harwich,4,Wareham,1
2017,Bourne,3,Brewster,4
2017,Falmouth,2,Yarmouth-Dennis,1
2017,Chatham,2,Hyannis,9
2017,Cotuit,0,Orleans,4
2017,Harwich,1,Wareham,5
2017,Brewster,3,Bourne,5
2017,Brewster,1,Falmouth,7
2017,Cotuit,3,Harwich,0
2017,Hyannis,1,Wareham,5
2017,Yarmouth-Dennis,3,Orleans,4
2017,Bourne,2,Chatham,8
2017,Orleans,13,Cotuit,2
2017,Chatham,1,Brewster,11
2017,Hyannis,5,Bourne,3
2017,Yarmouth-Dennis,12,Harwich,1
2017,Falmouth,8,Wareham,4
2017,Yarmouth-Dennis,2,Bourne,6
2017,Chatham,4,Brewster,6
2017,Cotuit,12,Hyannis,6
2017,Yarmouth-Dennis,3,Bourne,5
2017,Hyannis,8,Brewster,3
2017,Bourne,3,Yarmouth-Dennis,4
2017,Wareham,11,Cotuit,0
2017,Falmouth,8,Chatham,3
2017,Harwich,1,Orleans,9
2017,Yarmouth-Dennis,7,Brewster,4
2017,Cotuit,3,Falmouth,6
2017,Orleans,17,Hyannis,3
2017,Bourne,6,Wareham,4
2017,Harwich,2,Chatham,3
2017,Hyannis,8,Cotuit,11
2017,Chatham,3,Harwich,7
2017,Yarmouth-Dennis,0,Wareham,4
2017,Brewster,1,Orleans,5
2017,Falmouth,13,Bourne,3
2017,Orleans,3,Brewster,0
2017,Bourne,6,Falmouth,4
2017,Harwich,5,Hyannis,4
2017,Cotuit,2,Wareham,0
2017,Yarmouth-Dennis,0,Chatham,4
2017,Falmouth,3,Cotuit,5
2017,Hyannis,4,Yarmouth-Dennis,0
2017,Brewster,7,Harwich,6
2017,Wareham,4,Bourne,2
2017,Chatham,3,Orleans,4
2017,Harwich,3,Brewster,7
2017,Cotuit,9,Falmouth,3
2017,Yarmouth-Dennis,3,Hyannis,1
2017,Bourne,2,Wareham,13
2017,Orleans,2,Chatham,4
2017,Chatham,0,Cotuit,0
2017,Orleans,0,Yarmouth-Dennis,0
2017,Falmouth,0,Hyannis,0
2017,Bourne,0,Harwich,0
2017,Brewster,0,Wareham,0
2017,Chatham,9,Yarmouth-Dennis,5
2017,Brewster,8,Harwich,3
2017,Cotuit,7,Bourne,4
2017,Wareham,9,Falmouth,9
2017,Hyannis,2,Orleans,1
2017,Falmouth,0,Brewster,1
2017,Harwich,2,Cotuit,4
2017,Yarmouth-Dennis,3,Wareham,1
2017,Bourne,8,Hyannis,3
2017,Orleans,8,Chatham,2
2017,Hyannis,9,Cotuit,9
2017,Brewster,0,Yarmouth-Dennis,4
2017,Bourne,7,Falmouth,5
2017,Orleans,8,Harwich,3
2017,Chatham,8,Wareham,2
2017,Chatham,10,Cotuit,4
2017,Orleans,7,Yarmouth-Dennis,8
2017,Falmouth,0,Hyannis,0
2017,Bourne,1,Harwich,3
2017,Brewster,1,Wareham,2
2017,Harwich,7,Yarmouth-Dennis,3
2017,Falmouth,4,Orleans,3
2017,Wareham,3,Bourne,4
2017,Cotuit,2,Hyannis,3
2017,Brewster,9,Chatham,3
2017,Bourne,0,Yarmouth-Dennis,0
2017,Brewster,12,Falmouth,3
2017,Cotuit,0,Wareham,0
2017,Hyannis,3,Chatham,1
2017,Harwich,0,Orleans,0
2017,Yarmouth-Dennis,2,Brewster,1
2017,Orleans,5,Cotuit,1
2017,Chatham,4,Bourne,1
2017,Falmouth,6,Hyannis,3
2017,Wareham,3,Harwich,4
2017,Wareham,1,Cotuit,0
2017,Hyannis,3,Yarmouth-Dennis,4
2017,Chatham,3,Harwich,0
2017,Falmouth,1,Bourne,4
2017,Brewster,2,Orleans,4
2017,Harwich,10,Brewster,11
2017,Yarmouth-Dennis,6,Falmouth,5
2017,Cotuit,1,Wareham,4
2017,Orleans,9,Hyannis,3
2017,Bourne,0,Chatham,2
2017,Bourne,3,Cotuit,6
2017,Falmouth,9,Hyannis,3
2017,Harwich,2,Orleans,8
2017,Wareham,10,Hyannis,1
2017,Yarmouth-Dennis,4,Harwich,2
2017,Brewster,3,Chatham,5
2017,Falmouth,0,Orleans,2
2017,Wareham,10,Brewster,3
2017,Hyannis,4,Cotuit,11
2017,Orleans,2,Yarmouth-Dennis,11
2017,Harwich,5,Bourne,7
2017,Chatham,6,Falmouth,7
2017,Orleans,8,Brewster,6
2017,Cotuit,3,Bourne,5
2017,Yarmouth-Dennis,10,Hyannis,0
2017,Falmouth,2,Harwich,1
2017,Chatham,0,Wareham,1
2017,Hyannis,8,Brewster,8
2017,Wareham,4,Yarmouth-Dennis,5
2017,Harwich,1,Falmouth,8
2017,Bourne,2,Orleans,3
2017,Cotuit,12,Chatham,3
2017,Chatham,5,Cotuit,2
2017,Wareham,3,Yarmouth-Dennis,8
2017,Orleans,5,Harwich,0
2017,Falmouth,7,Bourne,8
2017,Brewster,1,Hyannis,2
2017,Cotuit,0,Brewster,9
2017,Bourne,2,Falmouth,6
2017,Hyannis,7,Wareham,4
2017,Yarmouth-Dennis,7,Chatham,2
2017,Harwich,6,Orleans,8
2017,Chatham,7,Brewster,4
2017,Harwich,6,Yarmouth-Dennis,5
2017,Wareham,0,Cotuit,4
2017,Hyannis,1,Falmouth,7
2017,Orleans,3,Bourne,5
2017,Cotuit,0,Hyannis,0
2017,Bourne,4,Harwich,1
2017,Brewster,8,Wareham,7
2017,Yarmouth-Dennis,4,Orleans,2
2017,Falmouth,2,Chatham,4
2017,Chatham,4,Yarmouth-Dennis,2
2017,Brewster,7,Bourne,6
2017,Wareham,1,Falmouth,2
2017,Cotuit,2,Harwich,7
2017,Hyannis,2,Orleans,7
2017,Yarmouth-Dennis,4,Brewster,2
2017,Falmouth,1,Cotuit,2
2017,Bourne,0,Hyannis,5
2017,Orleans,7,Wareham,4
2017,Harwich,4,Chatham,3
2017,Brewster,5,Yarmouth-Dennis,1
