Date,Away,Score,Home,Score
2017,Cotuit,2,Falmouth,3
2017,Chatham,1,Harwich,2
2017,Wareham,6,Orleans,5
2017,Hyannis,4,Bourne,2
2017,Cotuit,11,Hyannis,4
2017,Bourne,1,Yarmouth-Dennis,5
2017,Cotuit,2,Wareham,3
2017,Orleans,2,Brewster,6
2017,Bourne,6,Cotuit,8
2017,Harwich,6,Hyannis,8
2017,Falmouth,12,Wareham,1
2017,Yarmouth-Dennis,2,Chatham,4
2017,Yarmouth-Dennis,3,Cotuit,6
2017,Wareham,4,Bourne,13
2017,Falmouth,7,Hyannis,6
2017,Brewster,4,Harwich,7
2017,Chatham,2,Orleans,3
2017,Harwich,10,Brewster,11
2017,Cotuit,4,Yarmouth-Dennis,12
2017,Hyannis,7,Falmouth,9
2017,Bourne,12,Wareham,5
2017,Orleans,6,Chatham,4
2016,Orleans,9,Brewster,4
2016,Wareham,6,Yarmouth-Dennis,3
2016,Hyannis,2,Bourne,3
2016,Cotuit,3,Harwich,8
2016,Falmouth,7,Chatham,4
2016,Brewster,0,Cotuit,0
2016,Falmouth,0,Yarmouth-Dennis,0
2016,Hyannis,4,Harwich,12
2016,Chatham,0,Bourne,0
2016,Wareham,0,Orleans,0
2016,Yarmouth-Dennis,6,Brewster,11
2016,Harwich,3,Falmouth,0
2016,Cotuit,0,Wareham,8
2016,Bourne,5,Hyannis,4
2016,Orleans,2,Chatham,3
2016,Chatham,6,Brewster,14
2016,Cotuit,1,Bourne,10
2016,Wareham,4,Falmouth,5
2016,Yarmouth-Dennis,1,Harwich,9
2016,Hyannis,1,Orleans,6
2016,Bourne,7,Cotuit,5
2016,Chatham,4,Yarmouth-Dennis,3
2016,Falmouth,5,Hyannis,0
2016,Brewster,2,Wareham,3
2016,Harwich,5,Orleans,2
2016,Brewster,3,Cotuit,5
2016,Falmouth,3,Yarmouth-Dennis,0
2016,Chatham,8,Bourne,3
2016,Wareham,7,Orleans,11
2016,Yarmouth-Dennis,10,Brewster,8
2016,Orleans,6,Cotuit,5
2016,Chatham,4,Bourne,12
2016,Hyannis,2,Falmouth,8
2016,Wareham,3,Harwich,2
2016,Cotuit,2,Yarmouth-Dennis,3
2016,Harwich,1,Hyannis,0
2016,Orleans,5,Bourne,9
2016,Falmouth,5,Wareham,6
2016,Brewster,4,Chatham,2
2016,Cotuit,5,Brewster,7
2016,Bourne,1,Yarmouth-Dennis,5
2016,Wareham,4,Hyannis,5
2016,Chatham,5,Falmouth,2
2016,Harwich,0,Orleans,1
2016,Hyannis,5,Cotuit,4
2016,Orleans,5,Wareham,6
2016,Falmouth,0,Harwich,1
2016,Brewster,7,Bourne,2
2016,Yarmouth-Dennis,7,Chatham,0
2016,Harwich,3,Yarmouth-Dennis,0
2016,Brewster,11,Falmouth,6
2016,Bourne,2,Hyannis,5
2016,Chatham,7,Wareham,1
2016,Cotuit,4,Orleans,10
2016,Harwich,7,Cotuit,2
2016,Chatham,5,Yarmouth-Dennis,0
2016,Wareham,1,Hyannis,3
2016,Bourne,7,Falmouth,2
2016,Brewster,3,Orleans,7
2016,Hyannis,3,Brewster,12
2016,Falmouth,11,Cotuit,2
2016,Wareham,7,Bourne,7
2016,Chatham,0,Harwich,6
2016,Yarmouth-Dennis,5,Orleans,1
2016,Harwich,2,Brewster,3
2016,Orleans,3,Falmouth,7
2016,Cotuit,1,Hyannis,2
2016,Yarmouth-Dennis,12,Wareham,4
2016,Bourne,1,Chatham,3
2016,Yarmouth-Dennis,3,Cotuit,6
2016,Orleans,1,Harwich,2
2016,Falmouth,2,Bourne,4
2016,Hyannis,4,Wareham,5
2016,Brewster,0,Chatham,2
2016,Wareham,9,Brewster,8
2016,Harwich,1,Yarmouth-Dennis,5
2016,Cotuit,2,Falmouth,3
2016,Bourne,4,Orleans,2
2016,Chatham,2,Hyannis,9
2016,Bourne,5,Cotuit,4
2016,Orleans,5,Yarmouth-Dennis,3
2016,Falmouth,3,Hyannis,6
2016,Brewster,1,Harwich,5
2016,Wareham,1,Chatham,0
2016,Hyannis,10,Brewster,13
2016,Chatham,2,Cotuit,8
2016,Yarmouth-Dennis,4,Bourne,1
2016,Falmouth,4,Wareham,0
2016,Harwich,1,Orleans,4
2016,Wareham,6,Cotuit,7
2016,Falmouth,5,Bourne,1
2016,Yarmouth-Dennis,3,Harwich,0
2016,Hyannis,10,Chatham,0
2016,Brewster,2,Orleans,7
2016,Bourne,2,Brewster,1
2016,Yarmouth-Dennis,3,Falmouth,1
2016,Orleans,4,Hyannis,0
2016,Cotuit,2,Wareham,3
2016,Harwich,2,Chatham,4
2016,Falmouth,4,Cotuit,9
2016,Hyannis,7,Yarmouth-Dennis,8
2016,Brewster,1,Harwich,2
2016,Wareham,5,Bourne,2
2016,Chatham,0,Orleans,5
2016,Harwich,11,Brewster,7
2016,Cotuit,0,Falmouth,2
2016,Yarmouth-Dennis,5,Hyannis,8
2016,Bourne,1,Wareham,2
2016,Orleans,3,Chatham,6
2016,Brewster,6,Yarmouth-Dennis,8
2016,Orleans,3,Falmouth,6
2016,Bourne,2,Harwich,4
2016,Hyannis,6,Wareham,4
2016,Cotuit,7,Chatham,1
2016,Falmouth,13,Brewster,8
2016,Hyannis,1,Cotuit,5
2016,Orleans,3,Yarmouth-Dennis,7
2016,Harwich,1,Bourne,0
2016,Wareham,5,Chatham,6
2016,Chatham,1,Brewster,2
2016,Wareham,3,Cotuit,3
2016,Bourne,0,Falmouth,1
2016,Harwich,0,Hyannis,1
2016,Yarmouth-Dennis,8,Orleans,6
2016,Brewster,5,Cotuit,0
2016,Bourne,1,Yarmouth-Dennis,3
2016,Wareham,3,Harwich,3
2016,Chatham,2,Falmouth,4
2016,Hyannis,1,Orleans,7
2016,Orleans,4,Brewster,4
2016,Falmouth,6,Wareham,2
2016,Yarmouth-Dennis,1,Bourne,3
2016,Cotuit,2,Hyannis,1
2016,Harwich,1,Chatham,1
2016,Harwich,1,Cotuit,3
2016,Brewster,5,Yarmouth-Dennis,9
2016,Wareham,1,Hyannis,6
2016,Bourne,7,Chatham,5
2016,Falmouth,1,Orleans,2
2016,Cotuit,5,Brewster,2
2016,Hyannis,5,Bourne,4
2016,Wareham,3,Falmouth,12
2016,Chatham,0,Harwich,4
2016,Yarmouth-Dennis,4,Orleans,0
2016,Falmouth,4,Yarmouth-Dennis,8
2016,Brewster,9,Hyannis,7
2016,Cotuit,2,Harwich,0
2016,Bourne,3,Wareham,6
2016,Chatham,3,Orleans,5
2016,Orleans,0,Harwich,11
2016,Cotuit,5,Bourne,6
2016,Hyannis,3,Falmouth,7
2016,Brewster,5,Wareham,2
2016,Yarmouth-Dennis,8,Chatham,4
2016,Bourne,6,Brewster,6
2016,Falmouth,3,Cotuit,0
2016,Harwich,12,Yarmouth-Dennis,4
2016,Wareham,2,Orleans,1
2016,Chatham,9,Hyannis,11
2016,Cotuit,0,Falmouth,12
2016,Bourne,5,Hyannis,8
2016,Harwich,2,Wareham,3
2016,Orleans,0,Yarmouth-Dennis,1
2016,Brewster,3,Chatham,4
2016,Orleans,8,Brewster,6
2016,Hyannis,1,Yarmouth-Dennis,5
2016,Wareham,3,Bourne,2
2016,Falmouth,4,Harwich,2
2016,Cotuit,1,Chatham,2
2016,Yarmouth-Dennis,12,Cotuit,2
2016,Brewster,2,Hyannis,5
2016,Bourne,5,Harwich,13
2016,Chatham,5,Wareham,8
2016,Falmouth,8,Orleans,3
2016,Chatham,4,Brewster,5
2016,Orleans,4,Cotuit,6
2016,Hyannis,9,Bourne,10
2016,Harwich,9,Falmouth,2
2016,Yarmouth-Dennis,9,Wareham,13
2016,Brewster,2,Falmouth,3
2016,Yarmouth-Dennis,3,Harwich,0
2016,Cotuit,5,Wareham,6
2016,Orleans,5,Bourne,6
2016,Hyannis,3,Chatham,0
2016,Wareham,4,Brewster,3
2016,Bourne,3,Cotuit,2
2016,Chatham,5,Yarmouth-Dennis,4
2016,Falmouth,7,Hyannis,3
2016,Orleans,5,Harwich,7
2016,Brewster,3,Bourne,0
2016,Yarmouth-Dennis,5,Falmouth,8
2016,Hyannis,0,Wareham,5
2016,Harwich,10,Chatham,0
2016,Cotuit,4,Orleans,5
2016,Hyannis,1,Cotuit,3
2016,Brewster,13,Yarmouth-Dennis,3
2016,Wareham,3,Falmouth,4
2016,Chatham,4,Harwich,6
2016,Bourne,2,Orleans,1
2016,Falmouth,6,Brewster,4
2016,Cotuit,2,Bourne,4
2016,Orleans,2,Hyannis,1
2016,Harwich,0,Wareham,6
2016,Yarmouth-Dennis,2,Chatham,6
2016,Chatham,0,Cotuit,1
2016,Wareham,4,Yarmouth-Dennis,4
2016,Bourne,0,Falmouth,5
2016,Hyannis,1,Harwich,2
2016,Brewster,4,Orleans,5
2016,Yarmouth-Dennis,5,Brewster,4
2016,Harwich,2,Bourne,3
2016,Cotuit,5,Hyannis,1
2016,Orleans,4,Wareham,5
2016,Falmouth,3,Chatham,9
2016,Harwich,3,Brewster,2
2016,Cotuit,1,Yarmouth-Dennis,6
2016,Hyannis,2,Falmouth,9
2016,Bourne,1,Wareham,3
2016,Orleans,1,Chatham,2
2016,Wareham,6,Cotuit,0
2016,Falmouth,6,Bourne,7
2016,Yarmouth-Dennis,5,Hyannis,1
2016,Brewster,4,Harwich,5
2016,Chatham,3,Orleans,4
2015,Wareham,4,Brewster,5
2015,Hyannis,5,Falmouth,3
2015,Cotuit,3,Harwich,1
2015,Yarmouth-Dennis,1,Chatham,5
2015,Bourne,0,Orleans,1
2015,Orleans,4,Brewster,6
2015,Hyannis,5,Cotuit,0
2015,Harwich,4,Yarmouth-Dennis,2
2015,Wareham,10,Falmouth,1
2015,Chatham,3,Bourne,2
2015,Chatham,0,Brewster,6
2015,Cotuit,7,Bourne,2
2015,Falmouth,4,Harwich,1
2015,Hyannis,2,Wareham,6
2015,Yarmouth-Dennis,0,Orleans,7
2015,Orleans,12,Yarmouth-Dennis,3
2015,Harwich,1,Hyannis,3
2015,Cotuit,3,Falmouth,0
2015,Bourne,2,Wareham,4
2015,Brewster,3,Chatham,3
2015,Chatham,5,Cotuit,2
2015,Brewster,2,Falmouth,3
2015,Yarmouth-Dennis,5,Bourne,0
2015,Orleans,2,Hyannis,5
2015,Harwich,12,Wareham,11
2015,Hyannis,8,Brewster,0
2015,Cotuit,1,Yarmouth-Dennis,4
2015,Bourne,1,Harwich,1
2015,Falmouth,4,Chatham,6
2015,Wareham,2,Orleans,6
2015,Hyannis,9,Brewster,2
2015,Cotuit,0,Yarmouth-Dennis,4
2015,Bourne,2,Harwich,6
2015,Falmouth,3,Chatham,2
2015,Wareham,0,Orleans,1
2015,Bourne,4,Brewster,2
2015,Hyannis,7,Cotuit,3
2015,Wareham,0,Falmouth,1
2015,Chatham,3,Harwich,4
2015,Yarmouth-Dennis,1,Orleans,5
2015,Brewster,3,Cotuit,4
2015,Orleans,6,Yarmouth-Dennis,5
2015,Wareham,7,Hyannis,0
2015,Falmouth,3,Bourne,4
2015,Harwich,4,Chatham,0
2015,Brewster,0,Chatham,1
2015,Yarmouth-Dennis,3,Brewster,4
2015,Hyannis,2,Bourne,4
2015,Orleans,5,Harwich,1
2015,Falmouth,6,Wareham,4
2015,Cotuit,1,Chatham,4
2015,Cotuit,6,Brewster,17
2015,Wareham,5,Yarmouth-Dennis,2
2015,Hyannis,5,Harwich,0
2015,Bourne,8,Chatham,2
2015,Falmouth,1,Orleans,3
2015,Harwich,0,Cotuit,0
2015,Yarmouth-Dennis,0,Falmouth,0
2015,Chatham,0,Hyannis,0
2015,Orleans,0,Bourne,0
2015,Brewster,0,Wareham,0
2015,Harwich,0,Cotuit,0
2015,Yarmouth-Dennis,0,Falmouth,0
2015,Chatham,0,Hyannis,0
2015,Orleans,0,Bourne,0
2015,Brewster,0,Wareham,0
2015,Harwich,5,Cotuit,3
2015,Orleans,3,Bourne,6
2015,Yarmouth-Dennis,7,Falmouth,6
2015,Brewster,5,Wareham,4
2015,Chatham,3,Hyannis,2
2015,Harwich,6,Cotuit,1
2015,Orleans,3,Bourne,0
2015,Yarmouth-Dennis,5,Falmouth,1
2015,Brewster,0,Wareham,5
2015,Chatham,3,Hyannis,1
2015,Bourne,0,Yarmouth-Dennis,0
2015,Cotuit,0,Hyannis,0
2015,Harwich,0,Orleans,0
2015,Falmouth,4,Wareham,0
2015,Brewster,0,Chatham,0
2015,Harwich,5,Brewster,3
2015,Falmouth,0,Yarmouth-Dennis,2
2015,Bourne,5,Cotuit,0
2015,Wareham,8,Hyannis,1
2015,Cotuit,1,Hyannis,2
2015,Chatham,2,Orleans,1
2015,Wareham,4,Cotuit,3
2015,Orleans,6,Falmouth,1
2015,Brewster,7,Bourne,2
2015,Yarmouth-Dennis,5,Harwich,0
2015,Hyannis,5,Chatham,2
2015,Orleans,4,Cotuit,5
2015,Harwich,0,Falmouth,1
2015,Bourne,3,Hyannis,0
2015,Yarmouth-Dennis,2,Wareham,4
2015,Brewster,3,Chatham,0
2015,Falmouth,0,Brewster,0
2015,Chatham,2,Yarmouth-Dennis,7
2015,Cotuit,0,Bourne,0
2015,Wareham,0,Harwich,0
2015,Hyannis,3,Orleans,5
2015,Yarmouth-Dennis,1,Cotuit,11
2015,Orleans,8,Harwich,5
2015,Bourne,12,Falmouth,3
2015,Brewster,0,Hyannis,1
2015,Chatham,9,Wareham,2
2015,Chatham,2,Yarmouth-Dennis,9
2015,Harwich,6,Bourne,2
2015,Falmouth,0,Hyannis,0
2015,Brewster,0,Orleans,0
2015,Cotuit,0,Wareham,1
2015,Bourne,5,Yarmouth-Dennis,3
2015,Falmouth,1,Hyannis,5
2015,Harwich,2,Orleans,5
2015,Brewster,6,Chatham,3
2015,Harwich,1,Brewster,8
2015,Yarmouth-Dennis,2,Hyannis,6
2015,Cotuit,8,Falmouth,1
2015,Bourne,4,Wareham,7
2015,Orleans,2,Chatham,4
2015,Falmouth,4,Cotuit,1
2015,Hyannis,0,Yarmouth-Dennis,7
2015,Brewster,4,Harwich,5
2015,Wareham,0,Bourne,0
2015,Chatham,2,Orleans,4
2015,Yarmouth-Dennis,10,Brewster,2
2015,Bourne,4,Falmouth,2
2015,Cotuit,5,Hyannis,11
2015,Orleans,5,Wareham,0
2015,Harwich,4,Chatham,12
2015,Falmouth,3,Brewster,5
2015,Cotuit,4,Bourne,3
2015,Wareham,2,Harwich,3
2015,Brewster,9,Yarmouth-Dennis,4
2015,Wareham,1,Cotuit,2
2015,Orleans,11,Falmouth,2
2015,Hyannis,4,Harwich,1
2015,Bourne,3,Chatham,4
2015,Harwich,4,Yarmouth-Dennis,3
2015,Brewster,4,Bourne,5
2015,Hyannis,1,Falmouth,6
2015,Cotuit,2,Orleans,13
2015,Wareham,6,Chatham,13
2015,Brewster,7,Orleans,1
2015,Chatham,9,Brewster,1
2015,Bourne,3,Cotuit,4
2015,Orleans,0,Yarmouth-Dennis,5
2015,Wareham,1,Hyannis,3
2015,Falmouth,3,Harwich,2
2015,Orleans,2,Brewster,0
2015,Bourne,4,Hyannis,1
2015,Harwich,1,Falmouth,4
2015,Cotuit,1,Wareham,2
2015,Yarmouth-Dennis,8,Chatham,1
2015,Hyannis,4,Orleans,5
2015,Wareham,2,Yarmouth-Dennis,3
2015,Brewster,2,Cotuit,0
2015,Chatham,2,Harwich,0
2015,Falmouth,8,Bourne,6
2015,Bourne,1,Cotuit,3
2015,Chatham,0,Brewster,6
2015,Hyannis,5,Falmouth,2
2015,Yarmouth-Dennis,5,Harwich,3
2015,Orleans,8,Wareham,2
2015,Cotuit,1,Brewster,2
2015,Falmouth,3,Yarmouth-Dennis,4
2015,Hyannis,2,Bourne,3
2015,Harwich,3,Orleans,12
2015,Wareham,1,Chatham,2
2015,Falmouth,5,Cotuit,2
2015,Harwich,6,Hyannis,1
2015,Yarmouth-Dennis,0,Bourne,4
2015,Chatham,8,Wareham,0
2015,Brewster,10,Orleans,6
2015,Bourne,4,Brewster,7
2015,Harwich,1,Yarmouth-Dennis,4
2015,Cotuit,8,Falmouth,2
2015,Orleans,2,Chatham,1
2015,Hyannis,1,Wareham,2
2015,Wareham,3,Cotuit,5
2015,Brewster,5,Harwich,8
2015,Chatham,2,Bourne,4
2015,Falmouth,6,Hyannis,6
2015,Yarmouth-Dennis,4,Orleans,5
2015,Chatham,7,Cotuit,2
2015,Yarmouth-Dennis,7,Brewster,0
2015,Bourne,6,Hyannis,7
2015,Orleans,7,Harwich,2
2015,Falmouth,0,Wareham,5
2015,Wareham,7,Bourne,2
2015,Chatham,4,Falmouth,1
2015,Brewster,3,Hyannis,1
2015,Yarmouth-Dennis,2,Harwich,3
2015,Cotuit,2,Orleans,7
2015,Brewster,8,Yarmouth-Dennis,7
2015,Falmouth,1,Bourne,4
2015,Hyannis,8,Wareham,1
2015,Harwich,8,Orleans,5
2015,Cotuit,1,Chatham,6
2015,Wareham,4,Brewster,5
2015,Chatham,0,Yarmouth-Dennis,8
2015,Hyannis,2,Bourne,3
2015,Cotuit,3,Harwich,0
2015,Falmouth,3,Orleans,5
2015,Orleans,2,Cotuit,4
2015,Brewster,4,Falmouth,3
2015,Yarmouth-Dennis,1,Hyannis,5
2015,Bourne,9,Wareham,1
2015,Harwich,8,Chatham,3
2015,Falmouth,1,Cotuit,6
2015,Bourne,5,Yarmouth-Dennis,3
2015,Wareham,4,Harwich,4
2015,Brewster,6,Orleans,6
2015,Hyannis,4,Chatham,3
2015,Orleans,1,Brewster,4
2015,Harwich,3,Bourne,1
2015,Cotuit,2,Hyannis,5
2015,Chatham,3,Falmouth,2
2015,Yarmouth-Dennis,9,Wareham,1
2015,Falmouth,11,Brewster,7
2015,Orleans,12,Hyannis,8
2015,Cotuit,7,Bourne,10
2015,Yarmouth-Dennis,2,Chatham,1
2015,Harwich,2,Wareham,5
2015,Hyannis,6,Cotuit,2
2015,Brewster,3,Yarmouth-Dennis,4
2015,Wareham,3,Falmouth,10
2015,Chatham,2,Harwich,5
2015,Bourne,1,Orleans,4
2015,Yarmouth-Dennis,0,Cotuit,11
2015,Brewster,3,Harwich,7
2015,Wareham,4,Bourne,5
2015,Falmouth,9,Hyannis,3
2015,Chatham,2,Orleans,4
2015,Hyannis,5,Yarmouth-Dennis,4
2015,Harwich,7,Brewster,8
2015,Bourne,6,Falmouth,5
2015,Cotuit,4,Wareham,7
2015,Orleans,8,Chatham,4